facility_name,facility_type_display,improved_water_supply,improved_sanitation,chalkboard_each_classroom_yn,num_tchrs_with_nce,num_tchr_full_time,num_students_total,num_classrms_total,phcn_electricity,num_toilets_total,num_students_male,num_students_female,num_tchrs_male,num_tchrs_female,date_of_survey,education_type,community,ward,management,sector,unique_lga,latitude,longitude,total_teacher,student_teacher_ratio,total_student
"State primary school,  Omuojiebgeda",Primary school only,False,False,False,3,7,239,6,False,0,144,95,4,3,2014-05-06,formal_only,Omuojiebgeda,11,public,education,rivers,5.24023981388255,6.75064480956933,7,34.142857142857146,239
Christ lntl Nursery ana Primary School,Primary school only,False,False,True,4,9,172,5,False,0,87,85,5,4,2012-05-28,Formal Only,OBBO AIYEGUNLE,OBBO AIYEGUNLE 1,private,education,kwara,8.01969230175018,5.2666836977005,9,19.11111111111111,172
Anglican high sch,Junior and Senior Secondary school combined,False,False,True,2,21,304,19,True,0,170,134,6,15,2012-05-25,Formal Only,Oke opin,Oke opin/etan,public,education,kwara,8.0680242,5.23932439,21,14.476190476190476,304
UBE JUNIOR SEC.AFERGHER,Junior Secondary school only,False,True,True,4,7,112,3,False,6,55,57,7,0,2012-06-13,Formal Only,Ifegher,Shitile,public,education,benue,7.52851545810699,8.83233189582825,7,16.0,112
St Paticks Pry School Etan,Primary school only,False,False,True,8,10,105,11,False,0,72,33,7,3,2012-05-28,Formal Only,Etan,Oke Opin  Etan,public,education,kwara,8.03603231906891,5.21765291690826,10,10.5,105
All SAINT JUBILEE. CATHLOIC PRIMARY SCHOOL,Pre-primary and Primary school combined,False,True,True,7,8,55,13,False,2,24,31,1,7,2012-05-28,Integrated,OSI,OSI 2,private,education,kwara,8.0799289,5.23099492,8,6.875,55
TRINITY SEC SCH ORSUIHITEUKWA,Junior and Senior Secondary school combined,True,True,True,3,22,672,13,False,10,320,352,16,6,2012-08-27,Formal Only,ORSUIHITEUKWA,ORSU IHITEUKWA,public,education,imo,5.85550974,6.94134568,22,30.545454545454547,672
Sepia Primary School,Primary school only,False,False,False,7,9,334,15,False,0,159,175,2,7,2012-05-28,Formal Only,EJiu,OBBO ARGUNLE 1,public,education,kwara,8.01810443401337,5.27105033397675,9,37.111111111111114,334
Aatan Baptist School 3,Pre-primary and Primary school combined,False,False,False,24,24,536,12,False,0,220,316,1,23,2014-05-08,formal_only,KOSO,9,public,education,oyo,7.86748235,3.92952562,24,22.333333333333332,536
Victorous Comprehensive College,Junior and Senior Secondary school combined,True,True,True,0,10,153,6,True,5,73,80,3,7,2014-04-28,formal_only,Ilorin,Fate basin,private,education,kwara,8.50381155,4.60086103,10,15.3,153
Government school. ikot ata enin,Pre-primary and Primary school combined,False,False,False,9,13,1000,18,False,0,489,511,4,9,2012-07-13,Formal Only,Ikot ata enin,Adiasim,public,education,akwa,5.07978737354279,7.73114562034607,13,76.92307692307692,1000
Marte Central Primary School,Pre-primary and Primary school combined,False,True,False,15,67,451,13,False,4,217,234,41,26,2012-06-13,Formal Only,Marte,Marte,public,education,borno,12.3665070533752,13.829271197319,67,6.731343283582089,451
"Community Primary School, Amaogbo Nsukka",Primary school only,False,False,False,13,13,217,6,False,0,102,115,2,11,2014-02-27,formal_only,Amaogbo Nsukka,Alor-Uno,public,education,enugu,6.88523399710517,7.38920707764116,13,16.692307692307693,217
Community Sec School Lilu,Junior and Senior Secondary school combined,False,True,False,2,11,677,12,True,5,291,386,2,9,2012-06-14,Formal Only,Lilu,Lilu 1,public,education,anambra,5.88753461837769,6.95318162441254,11,61.54545454545455,677
Balarabe Pry. Sch.,Primary school only,False,False,True,0,3,232,3,False,0,164,68,3,0,2011-06-07,Formal Only,Balarabe,Kollere Kafaji,public,education,yobe,11.9275742769241,11.2329250574112,3,77.33333333333333,232
Community grammer school kajola,Junior and Senior Secondary school combined,False,False,True,4,26,885,18,False,0,490,395,20,6,2012-05-30,Formal Only,Kajola,Oniparaga,public,education,ondo,6.72468605,4.50371694,26,34.03846153846154,885
Glory Education Center. Nursrey Primary School,Pre-primary and Primary school combined,False,True,True,10,16,411,10,True,4,218,193,2,14,2012-06-18,Formal Only,Iru owelle. Awka Etiti,1,private,education,anambra,6.05966806411743,6.96471512317657,16,25.6875,411
Community secondary Etan,Senior Secondary school only,False,False,True,2,6,84,6,True,0,46,38,5,1,2012-05-28,Formal Only,Etan,Etan oke opin ward,public,education,kwara,8.02803106,5.21116404,6,14.0,84
St K Josehs pr Sch Ora Aiyetoro,Primary school only,True,False,True,7,7,118,10,True,0,52,66,4,3,2012-05-25,Formal Only,Ora Aiyetoro,Obbo Ilee,public,education,kwara,8.0298900604248,5.32321929931641,7,16.857142857142858,118
comm snr sec epeopin,Senior Secondary school only,False,False,True,1,5,121,3,False,0,62,59,3,2,2012-05-25,Formal Only,epeopin,opin,public,education,kwara,8.07816445827484,5.23761928081512,5,24.2,121
"Ogu Primary School,Otibio",Pre-primary and Primary school combined,False,True,False,13,14,874,21,True,2,413,461,6,8,2012-05-29,Formal Only,Otibio,Otibio 1,public,education,delta,5.56441756,6.17162884,14,62.42857142857143,874
Divine Providence catholic secondary school Osi,Junior and Senior Secondary school combined,True,False,False,8,26,120,6,False,0,75,45,14,12,2012-05-28,Formal Only,Osi,Ossi ward 2,private,education,kwara,8.0718719959259,5.21619915962219,26,4.615384615384615,120
NKST Primary school ko,Primary school only,False,False,False,6,7,96,6,False,0,40,56,5,2,2014-03-01,formal_only,Ko,Mbaaka,public,education,benue,7.16067166,8.81866344,7,13.714285714285714,96
OZOMOR PRY SCHL OWA ALIZOMOR,Pre-primary and Primary school combined,False,False,False,11,14,180,13,False,4,85,95,3,11,2012-09-07,Formal Only,OWA ALIZOMOR,6,public,education,delta,6.19966328144073,6.18658483028412,14,12.857142857142858,180
Kaya Islamiyya School,Primary school only,False,False,True,0,7,300,2,False,0,150,150,7,0,2012-07-29,Religious Only,Kaya,Kargo,public,education,jigawa,12.48558947,9.17491795,7,42.857142857142854,300
Ajinare Grammer Sch.,Junior and Senior Secondary school combined,True,True,True,20,32,345,12,True,3,156,189,19,13,2012-05-28,Formal Only,Ido Ile Ekiti,11,public,education,ekiti,7.79538369,4.96120798,32,10.78125,345
COMMUNITY SENIOR   SECONDARY  SCHOOL,Senior Secondary school only,False,True,True,0,4,65,4,False,2,35,30,3,1,2012-05-25,Formal Only,IKERIN,OPIN,public,education,kwara,8.1145547,5.2358209,4,16.25,65
Integrity Nursery and Primary Sch. Ire,Pre-primary and Primary school combined,False,False,False,3,5,15,4,True,0,7,8,1,4,2012-05-30,Formal Only,Ire Ekiti,Ire Ward 1,private,education,ekiti,7.73596578,5.39772574,5,3.0,15
CMS Girl Grammer School Bariga.,Senior Secondary school only,True,True,False,4,43,1388,11,True,26,0,1388,19,24,2012-07-12,Formal Only,Owode Orile,Owode Orile Ward C,public,education,lagos,6.53109901,3.38689149,43,32.27906976744186,1388
Government girls day secondary school,Junior and Senior Secondary school combined,False,False,True,6,11,120,11,False,4,0,120,9,2,2012-07-15,Formal Only,Lemu,Lemu,public,education,niger,9.41662430763245,6.02530360221863,11,10.909090909090908,120
DAN MEMORIAL ACADEMY,Pre-primary and Primary school combined,False,False,True,3,3,59,3,False,0,43,16,3,0,2012-07-11,Formal Only,NINKORO,NINKORO,private,education,nasarawa,9.01748259,8.10799344,3,19.666666666666668,59
Kuren Barde Pry School,Primary school only,False,True,False,3,9,757,12,False,9,462,295,9,0,2012-07-30,Integrated,Tsamiya,Zoza,public,education,kano,11.5960103273392,7.85337388515472,9,84.11111111111111,757
St  Bernards Sch Ora Obb Ole,Primary school only,True,False,True,7,9,143,12,True,0,67,76,3,6,2012-05-25,Formal Only,Obbo Ile,Obbo Ili,public,education,kwara,8.07805716991425,5.32265067100525,9,15.88888888888889,143
ST DENNIS PRIMARY SCHOOL,Primary school only,False,True,True,17,28,637,13,False,4,374,263,8,20,2014-02-27,formal_only,Iwuru obio ntan,Ehom,public,education,cross,5.4233,8.1759,28,22.75,637
State School 1 Akipelai,Primary school only,True,False,True,5,9,959,6,True,0,529,430,4,5,2014-03-01,formal_only,Akipelai,11,public,education,bayelsa,4.63165737,6.33822102,9,106.55555555555556,959
Prambe Pri. School,Primary school only,False,True,False,8,12,4,12,False,2,2,2,9,3,2014-04-15,formal_only,Prambe,Waltadi,public,education,adamawa,9.70606822,12.26027639,12,0.3333333333333333,4
ONIREKE SENIOR SCHOOL,Junior and Senior Secondary school combined,True,True,True,0,15,768,20,True,2,0,768,10,5,2014-04-12,formal_only,Reservation Quarters,9,public,education,oyo,7.40426617,3.87855127,15,51.2,768
C.A.C. Primary School,Primary school only,False,False,True,9,13,85,9,False,0,48,37,3,10,2012-05-30,Formal Only,OSI,OSI WARD 2,public,education,kwara,8.07948410511017,5.22834956645966,13,6.538461538461538,85
Dagu dutse primary,Primary school only,True,True,False,7,10,389,6,False,4,201,188,3,7,2014-05-05,formal_only,Dagu dutse,Dagu,public,education,bauchi,11.1436289548874,9.74794685840607,10,38.9,389
Saint Cyprians Pry SchoolEruku,Primary school only,True,True,True,3,4,377,9,False,4,189,188,1,3,2012-05-26,Formal Only,Eruku,Eruku,public,education,kwara,8.13721060752869,5.42000412940979,4,94.25,377
RCM Pri Sch Ikporkpo,Pre-primary and Primary school combined,False,False,True,4,5,340,8,False,0,200,140,5,0,2012-06-18,Formal Only,Mbaagishi,Nyumagbagh,public,education,benue,6.65939507,9.10255709,5,68.0,340
Cornal Stone Nur. Pry Sch,Pre-primary and Primary school combined,False,True,True,10,12,197,15,True,6,92,105,1,11,2012-08-27,Formal Only,Odo Oja Ikere Ekiti,Odose Ward,private,education,ekiti,7.49093278,5.24250348,12,16.416666666666668,197
Soro North Pry Sch,Pre-primary and Primary school combined,False,False,True,5,24,878,4,False,0,466,412,21,3,2011-06-11,Formal Only,Soro,Ganjuwa B,public,education,bauchi,10.7787787914276,10.2944147586823,24,36.583333333333336,878
SURE FOUNDATION SCH,Pre-primary and Primary school combined,True,True,True,4,10,163,9,True,10,73,90,2,8,2012-05-30,Formal Only,ITORI,ITORI,private,education,ogun,6.92940671,3.22266222,10,16.3,163
methpdist high school,Junior and Senior Secondary school combined,False,False,False,3,15,365,8,False,0,140,225,7,8,2012-05-26,Formal Only,eruku,eruku,public,education,kwara,8.13970506191254,5.42980492115021,15,24.333333333333332,365
Lgea Prim Sch Gunji,Primary school only,False,True,True,10,10,231,9,False,3,131,100,9,1,2011-05-13,Formal Only,Gunji,Gunji,public,education,plateau,9.3401437997818,9.67150390148163,10,23.1,231
ASHARA PRIMARY SCHOOL,Primary school only,False,True,False,17,17,357,8,False,6,180,177,13,4,2014-04-09,formal_only,WAKO,WAKO,public,education,fct,8.59058666666667,6.87493833333333,17,21.0,357
ISARE OPIN GRAMMER SCHOOL ISARE,Senior Secondary school only,True,False,False,0,1,40,3,False,0,25,15,1,0,2012-05-25,Formal Only,ISARE OPIN,OPIN,public,education,kwara,8.09511065483093,5.22478759288788,1,40.0,40
Ahuwa Community School,Pre-primary and Primary school combined,True,True,True,11,14,216,11,False,1,130,86,1,13,2011-03-29,Formal Only,Ahuwa,Oboro 3,public,education,abia,5.41201651096344,7.54309058189392,14,15.428571428571429,216
"Community Junior Secondary School,Elerinjare",Junior Secondary school only,False,False,True,1,11,73,7,False,0,41,32,7,4,2011-05-19,Formal Only,Elerinjare,Idofian 2,public,education,kwara,8.33533465862274,4.67671036720276,11,6.636363636363637,73
Junior secondary school osi,Junior Secondary school only,False,False,True,10,16,109,6,False,0,52,57,4,12,2012-05-28,Formal Only,Osi,OSI WARD 2,public,education,kwara,8.08525525,5.23239061,16,6.8125,109
Wahzee Academy,"Primary, Junior and Senior Secondary school combined",True,True,True,11,12,850,11,True,3,400,450,5,7,2011-05-11,Formal Only,Ikot Esen,Ubium north 2,private,education,akwa,4.75959599018097,7.97371923923492,12,70.83333333333333,850
Junior sec ikerin,Junior Secondary school only,True,False,True,3,8,45,3,False,0,28,17,6,2,2012-05-25,Integrated,Ikerin opin,Opin,public,education,kwara,8.10419193,5.23414166,8,5.625,45
Iketa grammer school osi,Senior Secondary school only,False,False,True,4,13,159,6,False,0,76,83,9,4,2012-05-28,Formal Only,Osi,Osi ward 2,public,education,kwara,8.08536793,5.23196251,13,12.23076923076923,159
GGJSS BARI,Junior Secondary school only,True,True,True,7,10,271,5,True,2,0,271,9,1,2012-07-27,Formal Only,BARI,GWANGWAN,public,education,kano,11.5695476531982,7.75668025016785,10,27.1,271
"Local Authority primary school, Alayin",Primary school only,False,False,True,3,4,638,6,False,0,326,312,2,2,2012-05-29,Formal Only,Alayin,Ward 8,public,education,oyo,8.20311884,3.68976619,4,159.5,638
SENIOR SECONDART SCHOOL,Senior Secondary school only,False,False,True,0,4,57,3,False,0,37,20,4,0,2012-05-25,Formal Only,ISOLO OPIN,OPIN,public,education,kwara,8.08113634586334,5.24781167507172,4,14.25,57
Egbelu Comm School Amaimo,Pre-primary and Primary school combined,False,True,False,7,12,300,7,False,4,130,170,1,11,2012-05-02,Formal Only,Amaimo,05,public,education,imo,5.58274033,7.20515596,12,25.0,300
Oscar Nur./ Pry. Sch,Pre-primary and Primary school combined,True,True,True,9,12,322,10,True,4,166,156,7,5,2012-07-13,Integrated,Festac 2,Idiroko,private,education,ogun,6.64548402,2.73868101,12,26.833333333333332,322
UBE Primary School Nkyan,Pre-primary and Primary school combined,False,True,False,8,14,661,7,True,4,354,307,3,11,2012-06-14,Formal Only,Nkyan,Fada ward,public,education,kaduna,9.44367706775665,8.00146400928497,14,47.214285714285715,661
Zumunchi Academy,Pre-primary and Primary school combined,True,True,True,9,10,149,6,False,3,62,87,7,3,2014-04-11,formal_only,Dirma,Dirma ward,private,education,adamawa,9.80677255,12.33548853,10,14.9,149
HIGHPOINT INTERNATIONAL SCHOOL,"Primary, Junior and Senior Secondary school combined",False,True,False,47,47,530,27,True,4,360,170,21,26,2014-04-18,formal_only,TUNGA SAUKA KAHUTA,TUDUN WADA SOUTH,private,education,niger,9.58900833333333,6.54189833333333,47,11.27659574468085,530
Comm schl,Primary school only,True,False,True,7,10,104,6,False,0,49,55,4,6,2012-05-25,Integrated,Ikerin ,Opin,public,education,kwara,8.10470604,5.23423299,10,10.4,104
Nwonyo nursery and primary school,Primary school only,False,False,False,40,50,1212,12,False,0,581,631,28,22,2012-06-16,Formal Only,Rimi uku,Rimi uku ward 1,public,education,taraba,8.18165205,9.75158783,50,24.24,1212
OSi COMMUNITY PRIMARY SCHOOL 1,Primary school only,True,True,False,9,9,74,11,False,2,48,26,1,8,2012-05-30,Formal Only,Osi,OSI Ward 2,public,education,kwara,8.08230042457581,5.21747589111328,9,8.222222222222221,74
Junior sec sch,Junior Secondary school only,True,False,True,9,15,240,7,False,0,116,124,4,11,2012-05-25,Formal Only,Epe opin,Opin,public,education,kwara,8.07397314,5.23417181,15,16.0,240
Govt. P/S. Afaha Eket 1,Pre-primary and Primary school combined,False,True,True,21,28,1546,10,False,1,761,785,1,27,2012-08-29,Formal Only,Enen Ekpene Afaha Eket,Urban 4,public,education,akwa,4.63659651,7.93764406,28,55.214285714285715,1546
Military Nur/Pry schl Ojo,Pre-primary and Primary school combined,True,True,False,8,18,654,24,False,2,322,332,3,15,2012-06-03,Formal Only,ARMY CANTONMENT OJO Barracks ,B,public,education,lagos,6.46379304,3.23000294,18,36.333333333333336,654
St. Dominic Catholic School,Pre-primary and Primary school combined,False,True,False,11,12,816,6,False,2,408,408,2,10,2012-08-28,Formal Only,Ikot Oso,Okon Development I,public,education,akwa,4.71230543,7.91590313,12,68.0,816
Girls.High School,Junior and Senior Secondary school combined,True,True,True,5,53,2283,23,True,4,0,2283,9,44,2012-08-27,Formal Only,Ikot-Ibiok,Central Ward 2,public,education,akwa,4.64988463,7.95784251,53,43.075471698113205,2283
ST.LUKES COLLEGE MOLETE.,Junior and Senior Secondary school combined,True,True,False,30,30,1411,12,True,2,820,591,16,14,2014-04-12,formal_only,MOLETE,WARD 11,public,education,oyo,7.35546413,3.89458658,30,47.03333333333333,1411
Govt. P/S IKOT HOSP. RD,Pre-primary and Primary school combined,True,True,True,20,28,1685,21,False,12,853,832,2,26,2012-08-28,Formal Only,Ikot Ebiyan,Urban 3,public,education,akwa,4.64145615,7.92378248,28,60.17857142857143,1685
New haven primary school,Pre-primary and Primary school combined,True,True,True,3,15,210,25,True,8,90,120,3,12,2012-06-13,Formal Only,New haven,10,public,education,enugu,6.45782453,7.52508317,15,14.0,210
"Amaise Primary school Umuagu, Ikwuano",Primary school only,False,False,False,4,7,106,5,False,0,50,56,1,6,2012-05-08,Formal Only,Ikwuano,Osuama Anara,public,education,imo,5.71970880031586,7.18979001045227,7,15.142857142857142,106
JAURO VOTTO PRIMARY SCHOOL,Primary school only,False,False,False,8,10,156,6,False,0,94,62,10,0,2014-04-30,formal_only,JAURO VOTTO,SUMBU B,public,education,taraba,8.91444504261017,11.4068931341171,10,15.6,156
St. Francis Catholic Primary School,Pre-primary and Primary school combined,False,True,False,18,21,1247,15,False,2,608,639,1,20,2012-08-24,Formal Only,Ikot Ataku,Urban I,public,education,akwa,4.67224015,7.90753813,21,59.38095238095238,1247
shalom nursery and primary school nyamusala,Pre-primary and Primary school combined,True,False,True,6,11,257,9,True,0,125,132,4,7,2012-07-26,Formal Only,nyamusala,turaki b,private,education,taraba,8.89448404312134,11.3871949911118,11,23.363636363636363,257
Pegasus Schools,"Primary, Junior and Senior Secondary school combined",True,True,True,3,62,650,27,True,86,300,350,19,43,2012-08-28,Formal Only,Usung Inyang,Urban 3,private,education,akwa,4.64981336,7.92128004,62,10.483870967741936,650
Alpha-Plus High School,Junior and Senior Secondary school combined,True,True,True,2,6,98,6,True,4,42,56,2,4,2014-05-01,formal_only,Ketu,Ketu,private,education,lagos,6.59183933,3.38635567,6,16.333333333333332,98
Qua Iboe Church Primary School,Pre-primary and Primary school combined,False,True,False,20,28,1793,24,False,5,816,977,1,27,2012-08-28,Formal Only,Usung Inyang,Urban 3,public,education,akwa,4.64403325,7.9314891,28,64.03571428571429,1793
Dayspring Comp. College,Junior and Senior Secondary school combined,True,True,True,6,32,452,18,True,8,250,202,17,15,2012-08-29,Formal Only,Atai Ndon Afaha Eket,Urban 4,private,education,akwa,4.64278289,7.93051092,32,14.125,452
St KIZITO HIGH SCHOOL IWOPIN,Junior Secondary school only,True,False,True,4,11,615,6,True,0,337,278,7,4,2012-08-24,Formal Only,IWOPIN,1,public,education,ogun,6.50825683,4.17921194,11,55.90909090909091,615
A. M. E. Zion School,Pre-primary and Primary school combined,False,True,False,9,11,997,13,False,2,507,490,2,9,2012-08-27,Formal Only,Idung Udo,Ward 3 central,public,education,akwa,4.66484081,7.9985673,11,90.63636363636364,997
Govt. P/S Afaha Atai,Pre-primary and Primary school combined,True,True,True,11,15,1208,26,False,2,599,609,0,15,2012-08-27,Formal Only,Afaha Atai,Central ward1,public,education,akwa,4.63410158,7.95759217,15,80.53333333333333,1208
P/S Ede-Obuk,Pre-primary and Primary school combined,False,True,False,8,8,930,18,False,4,459,471,2,6,2012-08-27,Formal Only,Ede-Obuk,Central Ward 1,public,education,akwa,4.61176093,7.94857374,8,116.25,930
Government School,Pre-primary and Primary school combined,False,True,False,16,18,1208,22,True,2,575,633,2,16,2012-08-29,Formal Only,Mkpok,Urban 4,public,education,akwa,4.652202,7.94783185,18,67.11111111111111,1208
ISAH ZAKAR PRIMARY SCHOOL. MAIGATARI.,Primary school only,True,True,True,4,14,831,12,False,3,447,384,12,2,2012-07-27,Formal Only,MAIGATARI,MAIGATARI AREWA WARD.,public,education,jigawa,12.8151118755341,9.44411158561707,14,59.357142857142854,831
Lokoja. Primary. School,Primary school only,False,False,True,5,7,160,6,False,0,91,69,6,1,2012-05-02,Formal Only,Lokoja,Lokoja. Puba vidiu,public,education,borno,10.38246005,12.26052452,7,22.857142857142858,160
Divine rulers group ofschool,Pre-primary and Primary school combined,True,True,True,10,12,170,12,True,5,80,90,4,8,2014-05-21,formal_only,Okeayo Oke eleshin ,5,private,education,oyo,7.32993712,3.97423674,12,14.166666666666666,170
Qua Iboe Church Sec. School,Junior and Senior Secondary school combined,True,True,True,4,22,586,16,True,4,233,353,14,8,2012-08-29,Formal Only,Afaha Eket,Urban 4,private,education,akwa,4.63836802,7.9311494,22,26.636363636363637,586
Comm. Sec. Sch Idung Iniang,Junior and Senior Secondary school combined,False,False,False,29,29,870,9,False,0,300,570,3,26,2012-08-27,Formal Only,Odoro Enen,Central Ward 2,public,education,akwa,4.67163935,7.95828496,29,30.0,870
Q.I .C School,Pre-primary and Primary school combined,False,True,False,9,10,952,12,False,4,472,480,1,9,2012-08-24,Formal Only,Esit-Urua,Central Ward 1,public,education,akwa,4.61181766,7.94853272,10,95.2,952
God' first Nur/Pry Schl,Pre-primary and Primary school combined,True,True,False,3,9,150,9,True,6,94,56,4,5,2014-04-04,formal_only,Bolorunduro,3,private,education,ondo,7.16498494148254,4.97371137142181,9,16.666666666666668,150
A.M.E ZION P/S USUNG INYANG,Pre-primary and Primary school combined,False,True,False,21,24,1599,30,False,1,791,808,0,24,2012-08-28,Formal Only,Usung Inyang,Urban 3,public,education,akwa,4.6530687,7.92816011,24,66.625,1599
"Ecwa Pry School,Patako",Primary school only,False,False,True,3,4,20,6,False,0,12,8,2,2,2011-05-14,Formal Only,Patako,Agunjin,public,education,kwara,8.46489071846008,5.00777006149292,4,5.0,20
Bakari Goso II Primary School,Primary school only,False,True,False,3,5,158,11,False,2,84,74,4,1,2012-05-25,Formal Only,Bakari Goso,Bakari Goso,public,education,adamawa,8.54711651802063,12.2705858945847,5,31.6,158
Muslim Nursry and Primary Sch.,Pre-primary and Primary school combined,False,False,False,9,9,148,10,False,0,76,72,1,8,2012-07-10,Formal Only,Ijan,Ijan,public,education,ekiti,7.62039899,5.37786716,9,16.444444444444443,148
Local Government Education Authority Primary School,Primary school only,True,True,True,2,6,443,11,False,4,224,219,2,4,2012-06-16,Formal Only,Asso,Asso,public,education,kaduna,9.43647801876068,8.16551327705383,6,73.83333333333333,443
Government Pry Sch. Ikot Okudomo,Pre-primary and Primary school combined,False,True,True,10,11,880,8,True,2,442,438,0,11,2012-08-25,Formal Only,Ikot okudomo,Urban 1,public,education,akwa,4.66661477,7.92082007,11,80.0,880
Community pri sch.owangha,Pre-primary and Primary school combined,False,False,False,7,8,253,4,False,0,121,132,3,5,2014-04-08,formal_only,"Owangha
",Ofumbogha/yala.,public,education,cross,6.09015742,8.3837878,8,31.625,253
"Baptist Nursery and Primary School, Pakoto",Pre-primary and Primary school combined,False,False,False,20,25,715,8,True,3,340,375,3,22,2012-07-11,Formal Only,Pakoto,10,public,education,ogun,6.79207284,3.19981318,25,28.6,715
Sakwaya Islamiya,Primary school only,True,False,True,0,3,50,4,False,0,12,38,2,1,2011-03-26,Integrated,sakwaya,durbunde,public,education,kano,11.531326174736,9.17668998241425,3,16.666666666666668,50
Community primary school,Primary school only,True,True,False,4,4,132,9,False,3,62,70,3,1,2014-04-05,formal_only,Gbodigbodi,Ward 8,public,education,ekiti,7.85248936,5.62649554,4,33.0,132
Rock foundation,Pre-primary and Primary school combined,True,True,False,7,10,334,9,True,6,170,164,1,9,2012-06-15,Formal Only,Akwaukwu,1,private,education,anambra,6.04094849,6.81397507,10,33.4,334
Aunty Chinnyâs International School,"Primary, Junior and Senior Secondary school combined",True,True,True,19,40,1038,30,True,10,561,477,30,10,2012-08-30,Formal Only,Afaha Eket,Urban 4,private,education,akwa,4.63107189,7.92195103,40,25.95,1038
QIC Pry. Sch. Nduo eduo,Pre-primary and Primary school combined,True,True,False,5,6,839,14,True,2,421,418,2,4,2012-08-28,Formal Only,Nduo eduo,Okon 1,public,education,akwa,4.68883092,7.93704067,6,139.83333333333334,839
ZI Pry.schl.I Epe,Pre-primary and Primary school combined,False,True,True,1,15,847,9,True,6,487,360,1,14,2012-09-10,Formal Only,PapAdeyemi Apena,A3 PAPA ADEYEMI APENA,public,education,lagos,6.58864391,3.97174966,15,56.46666666666667,847
LEA ZANDUR,Primary school only,False,False,False,3,5,63,4,False,0,39,24,3,2,2012-08-02,Formal Only,Zandur,Chanso,public,education,plateau,9.55868294,9.25859732,5,12.6,63
Comm. Sec. Sch. Idung Iniang,Junior and Senior Secondary school combined,True,False,False,20,29,870,9,False,0,300,570,3,26,2012-08-25,Formal Only,Odoro Enen,Central Ward 2,public,education,akwa,4.67176846,7.95815095,29,30.0,870
LGEA IKUMO,Primary school only,True,False,False,3,3,105,5,False,0,46,59,3,0,2012-07-13,Formal Only,IKUMO,IRENODU,public,education,kogi,7.98772272,6.7920076,3,35.0,105
AR-RAHMAN INTERNATIONAL SCHOOL,Junior and Senior Secondary school combined,True,True,False,36,36,350,33,True,28,200,150,20,16,2014-04-28,integrated,ASOKORO,GARKI,private,education,fct,9.04867333333333,7.505095,36,9.722222222222221,350
Government Primary school Idung Inang,Pre-primary and Primary school combined,False,True,False,2,25,2077,14,False,2,1061,1016,3,22,2012-08-25,Formal Only,Idung Iniang,Central Ward 2,public,education,akwa,4.66779041,7.95076646,25,83.08,2077
Community School Umuekwune,Pre-primary and Primary school combined,False,True,False,7,7,344,19,False,2,181,163,2,5,2011-03-28,Formal Only,Umuekwune Community,Umuekwune Ward 3,public,education,imo,5.27600169181824,7.02855169773102,7,49.142857142857146,344
Zakirai Foundation Nur And Pri,Pre-primary and Primary school combined,False,True,True,3,11,48,6,False,3,24,24,10,1,2011-03-29,Formal Only,Zakirai,Zakirai,private,education,kano,12.0978194475174,8.8871830701828,11,4.363636363636363,48
UBE Any/Hamida,Pre-primary and Primary school combined,False,True,True,4,7,298,9,False,4,202,96,2,5,2014-04-14,formal_only,And/Hamida Kinkiba,Kinkiba,public,education,kaduna,11.0156083333333,7.88236333333333,7,42.57142857142857,298
Christumo International Nursery/Primary School,Pre-primary and Primary school combined,True,True,True,12,16,234,10,True,4,119,115,4,12,2012-08-27,Formal Only,Ikot Akpaikpo,Okon Development II,private,education,akwa,4.69034198,7.90856611,16,14.625,234
Ibadan school for the deaf,Pre-primary and Primary school combined,False,False,True,19,19,158,16,False,3,86,72,3,16,2012-09-08,Formal Only,Ijokodo,Ward 8,public,education,oyo,7.4266098,3.88491536,19,8.31578947368421,158
GSS / GGSS MOEKAT,Junior and Senior Secondary school combined,False,False,True,5,7,260,6,False,0,180,80,7,0,2012-05-28,Formal Only,Moekat,Moekat,public,education,plateau,8.56406354,9.5732205,7,37.142857142857146,260
Baptist. Basic. Pri Sch,Pre-primary and Primary school combined,False,False,False,3,5,413,6,False,0,204,209,4,1,2012-07-26,Formal Only,Ayegun. Yemetu,9,public,education,oyo,8.01133158,4.21533571,5,82.6,413
Leaderpath Secondary School,Junior and Senior Secondary school combined,True,True,True,2,6,53,8,True,4,23,30,3,3,2014-05-09,formal_only,Agbado,Agbado,private,education,ogun,6.71514904,3.31646357,6,8.833333333333334,53
Govt. P/S Afaha Atai,Pre-primary and Primary school combined,True,True,True,11,15,1208,26,False,2,599,609,0,15,2012-08-25,Formal Only,Afaha Atai,Central Ward 1,public,education,akwa,4.63406428,7.95761126,15,80.53333333333333,1208
"UBE School, Ihungwa Nor",Primary and Junior Secondary school combined,True,True,True,9,13,289,15,False,6,137,152,5,8,2012-07-29,Formal Only,Ihungwa Nor,Mbatyu,public,education,benue,7.37218389,8.95240568,13,22.23076923076923,289
Government Primary School,Pre-primary and Primary school combined,True,True,False,8,11,938,16,True,2,480,458,1,10,2012-08-24,Formal Only,Ikot Abia,Urban I,public,education,akwa,4.66629189,7.91469547,11,85.27272727272727,938
pri sch,Primary school only,False,False,True,1,6,700,5,False,0,509,191,3,3,2012-07-26,Formal Only,dugum,fakarau,public,education,yobe,11.8403005599976,10.9557563066483,6,116.66666666666667,700
